Property,Description,Shorthand,Animatable,CSS,Syntax,Type,Example
color,Sets the text color,,yes,1,<color>,Color,"color: rgb(255,0,0);"
opacity,Sets the element opacity,,yes,3,<alphavalue>,Color,opacity: 0.5;
background,Sets various background properties (shorthand),X,some,1,"[<bg-image> || <bg-position> [ / <bg-size> ]? || <bg-repeat> || <bg-origin> || <bg-clip> || <bg-attachment> , ]* <background-layer (inluding background-color)>",Background,"background: url(image.png) 10px 5px / 10px 5px no-repeat content-box content-box scroll rgb(255,0,0);"
background-image,Sets the background image(s) source,background,no,1,none | url(<url>) | <gradient> | element('#'<id>),Background,background-image: url(image.png);
background-position,Sets background image(s) position,background,yes,1,left top | left center | left bottom | right top | right center | right bottom | center top | center center | center bottom | x% y% | xpos ypos,Background,background-position: 10px 5px;
background-size,Sets the size of the background image(s),background,Animatable,3,"[ <length> | <percentage> | auto ]{1,2} | cover | contain",Background,background-size: 10px 5px;
background-repeat,Sets the background image(s) repetition behavior,background,no,1,"repeat-x | repeat-y | [repeat | space | round | no-repeat]{1,2}",Background,background-repeat: no-repeat;
background-origin,Sets the area for background image(s) positioning,background,no,3,border-box | padding-box | content-box,Background,background-origin: content-box;
background-clip,Sets the area for the background color,background,no,3,border-box | padding-box | content-box,Background,background-clip: content-box;
background-attachment,Sets the background image scrolling behavior,background,no,1,scroll | fixed | local,Background,background-attachment: scroll;
background-color,Sets the background color,background,yes,1,<color>,Background,"background-color: rgb(255,0,0);"
background-blend-mode,Sets the blending mode for the background layers,,no,3,normal | multiply | screen | overlay | darken | lighten | color-dodge | color-burn | hard-light | soft-light | difference | exclusion | hue | saturation | color | luminosity,Background,background-blend-mode: overlay;
border,Sets various properties for all borders (shorthand),X,some,1,<border-width> || <border-style> || <border-color>,Border,"border: 10px solid rgb(255,0,0);"
border-width,Sets the border width,border,yes,1,"[ <length> | thin | medium | thick ]{1,4}",Border,border-width: 10px;
border-style,Sets the border style,border,no,1,"[ none | hidden | dotted | dashed | solid | double | groove | ridge | inset | outset ]{1,4}",Border,border-style: solid;
border-color,Sets the border color,border,yes,1,"<color>{1,4}",Border,"border-color: rgb(255,0,0);"
"border-top, border-right, border-bottom, border-right","Sets top, right, bottom, left border properties (shorthands)",X,some,1,<border-width> || <border-style> || <border-color>,Border,"border-top: 10px solid rgb(255,0,0);"
"border-top-width, border-right-width, border-bottom-width, border-left-width","Sets top, right, bottom, left border width","border-top, border-right, border-bottom, border-right",yes,1,<length> | thin | medium | thick,Border,border-top-width: 10px;
"border-top-style, border-right-style, border-bottom-style, border-left-style","Sets top, right, bottom, left border style","border-top, border-right, border-bottom, border-right",no,1,none | hidden | dotted | dashed | solid | double | groove | ridge | inset | outset,Border,border-top-style: solid;
"border-top-color, border-right-color, border-bottom-color, border-left-color","Sets top, right, bottom, left border color","border-top, border-right, border-bottom, border-right",yes,1,<color>,Border,"border-top-color: rgb(255,0,0);"
border-radius,Sets the border radius for all corners (shorthand),X,yes,3,"[ <length> | <percentage> ]{1,4} [ / [ <length> | <percentage> ]{1,4} ]?",Border,border-radius: 10px 5px / 50% 30%;
"border-top-left-radius, border-top-right-radius, border-bottom-right-radius, border-bottom-left-radius","Sets top-left, top-right, bottom-right, bottom-left border radius",border-radius,yes,3,"[ <length> | <percentage> ]{1,2}",Border,border-top-left-radius: 10px 5px;
border-image,Sets various border image properties (shorthand),X,no,3,<border-image-source> || <border-image-slice> [ / <border-image-width> | / <border-image-width>? / <border-image-outset> ]? || <border-image-repeat>,Border,border-image: url(image.png) 10px 5px 50% 30% fill / 10px 5px 50% 30% / 10px 5px 2 1 round;
border-image-source,Sets the border image source,border-image,no,3,none | <image>,Border,border-image-source: url(image.png);
border-image-slice,Sets 9 border image slices through 4 offsets,border-image,no,3,"[<number> | <percentage>]{1,4} && fill?",Border,border-image-slice: 10px 5px 50% 30% fill;
border-image-width,Sets the border image width,border-image,no,3,"[ <length> | <percentage> | <number> | auto ]{1,4}",Border,border-image-width: 10px 5px 50% 30%;
border-image-outset,Sets border image offset beyond the border box,border-image,no,3,"[ <length> | <number> ]{1,4}",Border,border-image-outset: 10px 5px 2 1;
border-image-repeat,Set the border image repeat behavior,border-image,no,3,"[ stretch | repeat | round ]{1,2}",Border,border-image-repeat: round;
